,Unnamed: 0,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,ligand_efficiency
1086,892,,36756,[],CHEMBL663874,Inhibitory activity against DNA topoisomerase II,B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(Br)c1,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL115302,,CHEMBL115302,4.39,False,http://www.openphacts.org/units/Nanomolar,215705,=,1,True,=,,IC50,nM,,40500.0,CHEMBL2094255,Homo sapiens,DNA topoisomerase II,9606.0,,,IC50,uM,UO_0000065,,40.5,11.6,0.27,0.41,5.82,
1898,134,,36998,[],CHEMBL719236,"Tested for its ability to eliminate the infective trypomastigote form of Trypanosoma cruzi, Y strain present in blood of infected mice at the dose of 0.50 mM",F,,,BAO_0000179,BAO_0000218,organism-based format,O=C1C(=O)c2ccoc2-c2ccccc21,,,CHEMBL1130355,Bioorg. Med. Chem. Lett.,1997,CHEMBL38066,,CHEMBL38066,,False,http://qudt.org/vocab/unit#Percent,109746,=,1,False,=,,Lysis,%,,100.0,CHEMBL375,Mus musculus,Mus musculus,10090.0,,,Lysis,%,UO_0000187,,100.0,,,,,
2583,821,,40685,[],CHEMBL707939,Cytotoxicity against L1210 leukemia cells,F,,,BAO_0002752,BAO_0000219,cell-based format,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,,,CHEMBL1135332,Bioorg. Med. Chem. Lett.,2002,CHEMBL53463,DOXORUBICIN,CHEMBL53463,,False,http://www.openphacts.org/units/Micromolar,159914,=,1,False,=,,Concentration,uM,,0.1,CHEMBL386,Mus musculus,L1210,10090.0,,,Concentration,uM,UO_0000064,,0.1,,,,,
2906,693,,36557,[],CHEMBL839886,Cytotoxic concentration required to inhibit 50% cell growth in A-549 lung carcinoma cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1cc(/C=C\c2ccc(N(C)C)cc2)cc(OC)c1OC,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1125188,J. Med. Chem.,1991,CHEMBL312992,,CHEMBL312992,,False,http://www.openphacts.org/units/Micromolar,157341,=,1,False,=,,ED50,uM,,0.0041,CHEMBL392,Homo sapiens,A549,9606.0,,,ED50,uM,UO_0000064,,0.0041,,,,,
1251,702,,38566,[],CHEMBL761967,Cytotoxic activity against PC-3 Prostate cancer cell line,F,,,BAO_0000189,BAO_0000219,cell-based format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,http://www.openphacts.org/units/Nanomolar,84812,=,1,True,=,,GI50,nM,,852.0,CHEMBL390,Homo sapiens,PC-3,9606.0,,,GI50,M,UO_0000065,,8.52e-07,,,,,
635,907,Not Determined,32771,[],CHEMBL675639,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,,,CHEMBL1124610,J. Med. Chem.,1989,CHEMBL306988,,CHEMBL306988,,False,,137177,,1,False,,,Ki,,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor erbB1,9606.0,,,Ki,uM,,,,,,,,
3020,133,,37997,[],CHEMBL847186,"In vivo activity against vaginal candidoses in rats, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 13/15",F,,,BAO_0000179,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,,338516,=,1,False,=,,C/I ratio,,,13.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,13.0,,,,,
2186,338,,33202,[],CHEMBL758597,Optimal dose per injection in mg/kg required to inhibit growth of P388 leukemia cells in mice,F,,,BAO_0000179,BAO_0000218,organism-based format,COCCn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2.Cl,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL553589,,CHEMBL1194954,,False,,35220,=,1,True,=,,DOSE,mg.kg-1,,100.0,CHEMBL389,Mus musculus,P388,10090.0,,,Dose,mg kg-1,UO_0000308,,100.0,,,,,
2048,438,,39302,[],CHEMBL706332,Tested in vitro against murine L1210 leukemia.,F,,,BAO_0000190,BAO_0000219,cell-based format,Cl.NCCNCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL555084,,CHEMBL1195648,6.48,False,http://www.openphacts.org/units/Nanomolar,35182,=,1,True,=,,IC50,nM,,330.0,CHEMBL386,Mus musculus,L1210,10090.0,,,IC50,M,UO_0000065,,3.3e-07,,,,,
585,84,,35948,[],CHEMBL786957,Percent glycaemia evolution at 20 mg/kg at 2 hr after the last administration for 4 days chronic treatment (J4) in Wistar rats,F,,,BAO_0000179,BAO_0000218,organism-based format,CCN1CC(C(=O)N/N=C(\N)N=C(N)N)C(=O)c2cc(OC)ccc21.Cl,,,CHEMBL1133273,Bioorg. Med. Chem. Lett.,2000,CHEMBL545205,,CHEMBL1193743,,False,http://qudt.org/vocab/unit#Percent,89939,=,1,False,=,,Glycaemia evolution,%,,-2.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,,,Glycaemia evolution,%,UO_0000187,,-2.0,,,,,
3024,137,,38001,[],CHEMBL845080,"In vivo activity against microsporosis guinea pig, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 3/10",F,,,BAO_0000179,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,,338516,=,1,False,=,,C/I ratio,,,3.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,3.0,,,,,
2195,611,,33475,[],CHEMBL711897,In vitro inhibitory activity against recombinant human LAR using fluorescein diphosphate (FDP) as a substrate,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1,,,CHEMBL1135185,Bioorg. Med. Chem. Lett.,2002,CHEMBL301254,,CHEMBL301254,5.15,False,http://www.openphacts.org/units/Nanomolar,100668,=,1,True,=,,IC50,nM,,7090.0,CHEMBL3521,Homo sapiens,Receptor-type tyrosine-protein phosphatase F (LAR),9606.0,,,IC50,uM,UO_0000065,,7.09,17.62,0.32,2.48,8.52,
2299,687,,35551,[],CHEMBL798172,In vitro antifungal activity against Saprolegnia sp,F,,,BAO_0000181,BAO_0000218,organism-based format,CCCCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6ccnc6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL433536,,CHEMBL433536,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338507,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL612837,Saprolegnia,Saprolegnia,4769.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
134,278,,33142,[],CHEMBL659518,In vitro antifungal activity against Candida tropicalis,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL353397,,CHEMBL353397,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338523,=,1,False,=,,Inhibition,ug ml-1,,10.0,CHEMBL612870,Candida tropicalis,Candida tropicalis,5482.0,,,Inhibition,ug ml-1,UO_0000274,,10.0,,,,,
81,608,Not Active,33472,[],CHEMBL772435,In vitro inhibitory activity against recombinant human protein-tyrosine phosphatase 1B (PTP1B) using fluorescein diphosphate (FDP) as a substrate,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C=C(N2CCCC2)c2ccccc2C1=O,,,CHEMBL1135185,Bioorg. Med. Chem. Lett.,2002,CHEMBL301258,,CHEMBL301258,,False,,100630,,1,False,,,IC50,,,,CHEMBL335,Homo sapiens,Protein-tyrosine phosphatase 1B,9606.0,,,IC50,uM,,,,,,,,
79,574,,33438,[],CHEMBL720833,In vivo anaesthetic activity after intravenous administration in MF-1 mice was determined by loss of righting reflex using probit analysis,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(C)c1cc(CN2CCOCC2)cc(C(C)C)c1N(C)C,,,CHEMBL1134015,Bioorg. Med. Chem. Lett.,2001,CHEMBL354284,,CHEMBL354284,,False,,342118,=,1,False,=,,HD50,uM kg-1,,83.0,CHEMBL375,Mus musculus,Mus musculus,10090.0,,,HD50,uM kg-1,,,83.0,,,,,
2687,674,,41538,[],CHEMBL744617,In vitro antifungal activity against Mucor sp,F,,,BAO_0000181,BAO_0000019,assay format,O=c1n(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)cnn1C1CCCC1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL172813,,CHEMBL172813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338527,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
2475,433,,38297,[],CHEMBL663788,In vitro antifungal activity against Cryptococcus neoformans CY1057 was determined at pH 7 for inoculum size of 1*10e4 cfu/ml by broth dilution method,F,,,BAO_0000191,BAO_0000218,organism-based format,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1151576,Bioorg. Med. Chem. Lett.,1994,CHEMBL64391,ITRACONAZOLE,CHEMBL64391,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,320477,=,1,False,=,,IC80,ug ml-1,,0.022,CHEMBL365,Cryptococcus neoformans,Filobasidiella neoformans,5207.0,,,IC80,ug ml-1,UO_0000274,,0.022,,,,,
2065,248,,40112,[],CHEMBL820328,Effect on the binding of radiolabeled [3H]colchicine to tubulin,B,,,BAO_0000201,BAO_0000224,protein format,COc1ccc(NCc2cc(OC)cc(OC)c2)cc1,,,CHEMBL1125188,J. Med. Chem.,1991,CHEMBL87250,,CHEMBL87250,,False,http://qudt.org/vocab/unit#Percent,157327,=,1,True,=,,Inhibition,%,,39.0,CHEMBL2094134,Bos taurus,Tubulin,9913.0,,,Inhibition,%,UO_0000187,,39.0,,,,,
2425,116,,37980,[],CHEMBL798172,In vitro antifungal activity against Saprolegnia sp,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nn(C(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL352780,,CHEMBL352780,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338508,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL612837,Saprolegnia,Saprolegnia,4769.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
2675,662,,41526,[],CHEMBL650098,In vitro antifungal activity against Aspergillus fumigatus,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nn(C(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL172512,,CHEMBL172512,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338511,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL363,Aspergillus fumigatus,Aspergillus fumigatus,746128.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
1178,123,,37987,[],CHEMBL815607,In vitro antifungal activity against Trichophyton rubrum,F,,,BAO_0000181,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338516,=,1,False,=,,Inhibition,ug ml-1,,1.0,CHEMBL612649,Trichophyton rubrum,Trichophyton rubrum,5551.0,,,Inhibition,ug ml-1,UO_0000274,,1.0,,,,,
1438,835,,35699,[],CHEMBL762168,"Activity against P388 leukemia cells in mice, by intraperitoneal dosing and net log tumor cell kill was reported",F,,,BAO_0000181,BAO_0000219,cell-based format,CCN(CC)CCNc1ccc2c3c(nn2CCO)-c2ccccc2C(=O)c13.Cl,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL542070,,CHEMBL1191033,,False,,35202,=,1,False,=,,Activity,,,0.8,CHEMBL389,Mus musculus,P388,10090.0,,,Activity,,,,0.8,,,,,
1224,436,,38300,[],CHEMBL650095,In vitro antifungal activity against Aspergillus fumigatus CF1004 was determined at pH 7 for inoculum size of 1*10e4 cfu/ml by broth dilution method,F,,,BAO_0000191,BAO_0000218,organism-based format,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1151576,Bioorg. Med. Chem. Lett.,1994,CHEMBL64391,ITRACONAZOLE,CHEMBL64391,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,320477,<,1,False,<,,IC80,ug ml-1,,0.0004,CHEMBL363,Aspergillus fumigatus,Aspergillus fumigatus,746128.0,,,IC80,ug ml-1,UO_0000274,,0.0004,,,,,
983,646,,34510,[],CHEMBL758597,Optimal dose per injection in mg/kg required to inhibit growth of P388 leukemia cells in mice,F,,,BAO_0000179,BAO_0000218,organism-based format,O=C1c2ccccc2-c2nn(CCNCO)c3ccc(NCCNCCO)c1c23,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL24454,,CHEMBL24454,,False,,35236,=,1,True,=,,DOSE,mg.kg-1,,50.0,CHEMBL389,Mus musculus,P388,10090.0,,,Dose,mg kg-1,UO_0000308,,50.0,,,,,
62,277,,33141,[],CHEMBL664097,In vitro antifungal activity against Cryptococcus neoformans,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL353397,,CHEMBL353397,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338523,=,1,False,=,,Inhibition,ug ml-1,,100.0,CHEMBL365,Cryptococcus neoformans,Filobasidiella neoformans,5207.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
168,182,,34046,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J. Med. Chem.,1989,CHEMBL77724,,CHEMBL77724,,False,http://www.openphacts.org/units/Nanomolar,137189,>,1,True,>,,Ki,nM,,400000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor erbB1,9606.0,,,Ki,uM,UO_0000065,,400.0,,,,,
2023,696,,38560,[],CHEMBL808990,Cytotoxic activity against SK-MEL-5 Melanoma cell line,F,,,BAO_0000189,BAO_0000219,cell-based format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,http://www.openphacts.org/units/Nanomolar,84812,=,1,True,=,,GI50,nM,,1150.0,CHEMBL614922,Homo sapiens,SK-MEL-5,9606.0,,,GI50,M,UO_0000065,,1.15e-06,,,,,
3108,237,,40101,[],CHEMBL715108,Cytotoxic concentration required to inhibit 50% cell growth in MCF-7 breast carcinoma cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1ccc(CNc2cc(OC)c(OC)c(OC)c2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1125188,J. Med. Chem.,1991,CHEMBL87353,,CHEMBL87353,,False,http://www.openphacts.org/units/Micromolar,157328,=,1,False,=,,ED50,uM,,0.86,CHEMBL387,Homo sapiens,MCF7,9606.0,,,ED50,uM,UO_0000064,,0.86,,,,,
1660,199,,32063,[],CHEMBL762168,"Activity against P388 leukemia cells in mice, by intraperitoneal dosing and net log tumor cell kill was reported",F,,,BAO_0000181,BAO_0000219,cell-based format,Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL542565,,CHEMBL1191461,,False,,35198,=,1,False,=,,Activity,,,3.4,CHEMBL389,Mus musculus,P388,10090.0,,,Activity,,,,3.4,,,,,
2858,39,,34903,[],CHEMBL618673,Effect against HIV-1 chronically infected promonocytic cell line ACH-2 cells,F,,,BAO_0000179,BAO_0000219,cell-based format,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,,,CHEMBL1128496,J. Med. Chem.,1995,CHEMBL129,ZIDOVUDINE,CHEMBL129,,False,http://www.openphacts.org/units/PicogramPerMilliliter,190461,=,1,False,=,,p24,pg ml-1,,155.0,CHEMBL614263,Homo sapiens,ACH-2 cell line,9606.0,,,p24,pg ml-1,,,155.0,,,,,
3140,467,,40331,[],CHEMBL843580,"In vivo activity against microsporosis guinea pig, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 0/8",F,,,BAO_0000179,BAO_0000218,organism-based format,Cc1nn(CC(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL355397,,CHEMBL355397,,False,,338531,=,1,False,=,,C/I ratio,,,0.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,0.0,,,,,
2898,338,,36202,[],CHEMBL712064,In vivo optimal nontoxic dose against murine L1210 leukemia cells after i.v. administration day 1 after tumor i.p. inoculation.,F,,,BAO_0000179,BAO_0000218,organism-based format,Cl.Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)/C=C/c4ccc(N(CCCl)CCCl)cc4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,,,CHEMBL1133770,J. Med. Chem.,2000,CHEMBL553635,,CHEMBL99772,,False,,164591,=,1,False,=,,Optimal dose,mg kg-1,,6.2,CHEMBL386,Mus musculus,L1210,10090.0,,,Optimal dose,mg kg-1,UO_0000308,,6.2,,,,,
2205,79,,33943,[],CHEMBL751769,The compound was evaluated for antagonistic activity at P2Y purinoceptor 1 (P2Y1) from guinea pig taenia coli,F,,,BAO_0000190,BAO_0000019,assay format,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2S(=O)(=O)[O-])c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],,,CHEMBL1135773,J. Med. Chem.,2002,CHEMBL133572,,CHEMBL1205686,,False,http://www.openphacts.org/units/Nanomolar,252112,<,1,True,<,,IC50,nM,,1000.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606.0,,,IC50,uM,UO_0000065,,1.0,,,,,
440,275,,33139,[],CHEMBL815607,In vitro antifungal activity against Trichophyton rubrum,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL353397,,CHEMBL353397,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338523,=,1,False,=,,Inhibition,ug ml-1,,10.0,CHEMBL612649,Trichophyton rubrum,Trichophyton rubrum,5551.0,,,Inhibition,ug ml-1,UO_0000274,,10.0,,,,,
3088,707,,38571,[],CHEMBL844602,Ratio of the inhibitory concentrations against rat liver DHFR and Pneumocystis carinii DHFR,B,,,BAO_0000179,BAO_0000019,assay format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,,84812,=,1,False,=,,Ratio,,,0.68,CHEMBL2097173,Pneumocystis carinii,Dihydrofolate reductase; P. carinii vs rat,4754.0,,,Ratio,,,,0.68,,,,,
2806,480,,34344,[],CHEMBL798172,In vitro antifungal activity against Saprolegnia sp,F,,,BAO_0000181,BAO_0000218,organism-based format,O=c1n(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)cnn1CC1CC1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL367642,,CHEMBL367642,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338526,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL612837,Saprolegnia,Saprolegnia,4769.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
372,438,,35302,[],CHEMBL675636,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J. Med. Chem.,1989,CHEMBL421877,,CHEMBL421877,,False,http://www.openphacts.org/units/Nanomolar,137187,=,1,True,=,,Ki,nM,,300000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor erbB1,9606.0,,,Ki,uM,UO_0000065,,300.0,,,,,
323,643,,34507,[],CHEMBL762168,"Activity against P388 leukemia cells in mice, by intraperitoneal dosing and net log tumor cell kill was reported",F,,,BAO_0000181,BAO_0000219,cell-based format,Cl.NCCn1nc2c3c(c(NCCNCCO)ccc31)C(=O)c1ccccc1-2,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL541525,,CHEMBL1190733,,False,,35240,=,1,False,=,,Activity,,,3.7,CHEMBL389,Mus musculus,P388,10090.0,,,Activity,,,,3.7,,,,,
1977,182,,38046,[],CHEMBL659518,In vitro antifungal activity against Candida tropicalis,F,,,BAO_0000181,BAO_0000218,organism-based format,CCc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL167713,,CHEMBL167713,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338522,=,1,False,=,,Inhibition,ug ml-1,,100.0,CHEMBL612870,Candida tropicalis,Candida tropicalis,5482.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
521,872,,34736,[],CHEMBL821050,In vitro inhibitory activity against recombinant human Yop using fluorescein diphosphate (FDP) as a substrate,B,,,BAO_0000190,BAO_0000019,assay format,O=C1C=C(c2c[nH]c3ccccc23)c2ccccc2C1=O,,,CHEMBL1135185,Bioorg. Med. Chem. Lett.,2002,CHEMBL60707,,CHEMBL60707,4.59,False,http://www.openphacts.org/units/Nanomolar,100640,=,1,True,=,,IC50,nM,,25610.0,CHEMBL612545,,Unchecked,,,,IC50,uM,UO_0000065,,25.61,,,,,
1376,784,,34648,[],CHEMBL629247,Partition coefficient of compound in octanol and water by Fragmental method of Leo/Hansch,P,,,BAO_0002130,BAO_0000100,small-molecule physicochemical format,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,,,CHEMBL1136579,Bioorg. Med. Chem. Lett.,2003,CHEMBL41092,CHRYSOPHANOL,CHEMBL41092,,False,,307474,=,1,True,=,,LogP,,,3.39,CHEMBL2362975,,No relevant target,,,,Log Pow,,,,3.39,,,,,
651,274,,33138,[],CHEMBL815141,In vitro antifungal activity against Trichophyton mentagrophytes,F,,,BAO_0000181,BAO_0000218,organism-based format,Cc1nnc(O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5ccnc5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL353397,,CHEMBL353397,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338523,=,1,False,=,,Inhibition,ug ml-1,,10.0,CHEMBL346,Arthroderma benhamiae,Arthroderma benhamiae,63400.0,,,Inhibition,ug ml-1,UO_0000274,,10.0,,,,,
2558,463,,40327,[],CHEMBL845108,"In vivo activity against vaginal candidoses in rats, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 6/6",F,,,BAO_0000179,BAO_0000218,organism-based format,Cc1nn(CC(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL355397,,CHEMBL355397,,False,,338531,=,1,False,=,,C/I ratio,,,6.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,6.0,,,,,
